fid,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,start_node,end_node,length
32,"37394890",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4207198,37.2255349","-80.4206574,37.225414",14.5156145722964
33,"37394890",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4206574,37.225414","-80.4204964,37.2251089",36.751858476469
34,"37394890",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4204964,37.2251089","-80.4204017,37.2248995",24.7165749930005
35,"37394890",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4204017,37.2248995","-80.42027,37.2247846",17.2980782016107
36,"37394890",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.42027,37.2247846","-80.4201225,37.2247338",14.2529526428183
37,"37394891",,steps,,,,,,0,"""handrail""=>""no"",""ramp""=>""no"",""surface""=>""concrete""","-80.4210286,37.2259125","-80.4210191,37.225899",1.71918332100452
38,"37394893",,steps,,,,,,0,"""cutting""=>""yes"",""handrail""=>""yes"",""incline""=>""up"",""ramp""=>""no"",""surface""=>""concrete""","-80.4213814,37.2262451","-80.4212877,37.2261372",14.579057213192
39,"37394893",,steps,,,,,,0,"""cutting""=>""yes"",""handrail""=>""yes"",""incline""=>""up"",""ramp""=>""no"",""surface""=>""concrete""","-80.4212877,37.2261372","-80.4211437,37.226044",16.4410210809416
40,"37394893",,steps,,,,,,0,"""cutting""=>""yes"",""handrail""=>""yes"",""incline""=>""up"",""ramp""=>""no"",""surface""=>""concrete""","-80.4211437,37.226044","-80.4210286,37.2259125",17.8137955461145
41,"43080071",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4258398,37.2271663","-80.4257422,37.2270801",12.9052104221033
42,"43080071",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4257422,37.2270801","-80.425148,37.2265808",76.4945814670504
43,"43080071",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.425148,37.2265808","-80.4251119,37.2265499",4.69302335161198
44,"43082430",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4172488,37.2253643","-80.4168405,37.2258659",66.4230103422368
45,"43082430",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4168405,37.2258659","-80.416813,37.2258997",4.47523700573143
46,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.418741,37.2259102","-80.4187893,37.2259732",8.201234536574
47,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4187893,37.2259732","-80.4189562,37.2261014",20.5384165094385
48,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189562,37.2261014","-80.4189951,37.2261297",4.6671983217535
49,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189951,37.2261297","-80.4190894,37.2261982",11.306299392913
50,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4190894,37.2261982","-80.4191005,37.2262063",1.33361508960662
51,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191005,37.2262063","-80.4191522,37.2262439",6.20202738698037
52,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191522,37.2262439","-80.4193687,37.2264028",26.0799264314981
53,"43082431",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4193687,37.2264028","-80.4194722,37.2264765",12.2992707273931
54,"43082442",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191066,37.2270857","-80.4190379,37.2271518",9.53872403667673
55,"43082442",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4190379,37.2271518","-80.4189551,37.2272315",11.499319162449
56,"43082442",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189551,37.2272315","-80.4189356,37.2272493",2.62627331994161
57,"43082442",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189356,37.2272493","-80.4187792,37.227402",21.9054686572151
58,"43082472",Burruss Tunnel,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete"",""tunnel""=>""building_passage""","-80.4238217,37.2286498","-80.4232384,37.2290776",70.2405068500639
59,"43082474",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2023-01-30"",""foot""=>""yes"",""surface""=>""concrete""","-80.4196319,37.2279781","-80.4194667,37.2278664",19.1993338395843
60,"43082474",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2023-01-30"",""foot""=>""yes"",""surface""=>""concrete""","-80.4194667,37.2278664","-80.4191668,37.2276556",35.4354524927162
61,"43082474",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2023-01-30"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191668,37.2276556","-80.4189724,37.2275294",22.2216715595948
62,"43082474",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2023-01-30"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189724,37.2275294","-80.4188243,37.2274332",16.9331596158968
63,"43082475",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4179734,37.2258586","-80.4179362,37.2258935",5.08935505495298
64,"43084849",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2023-02-07"",""foot""=>""yes"",""surface""=>""concrete""","-80.4194667,37.2278664","-80.4194381,37.2278907",3.7033893821044
65,"43091606",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4226204,37.2296848","-80.4226062,37.229671",1.9833395816693
66,"43091606",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4226062,37.229671","-80.4225913,37.2296565",2.0828003456972
67,"43091607",,path,,,,,,0,"""access""=>""no"",""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219166,37.2299438","-80.4219918,37.2295595",43.1693069094305
68,"43091608",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219918,37.2295595","-80.4224191,37.2295606",37.9202361322547
69,"43091608",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4224191,37.2295606","-80.42248,37.2295613",5.40502916426345
70,"43091612",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4215493,37.229385","-80.4215497,37.2294318",5.194076408682
71,"43091612",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4215497,37.2294318","-80.4216064,37.2296694",26.8450940500803
72,"43100237",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4202655,37.227034","-80.4202022,37.2270673",6.72428959754018
73,"43100237",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4202022,37.2270673","-80.4201291,37.2270839",6.74387230697429
74,"43100237",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4201291,37.2270839","-80.4195716,37.2271603",50.1973120422764
75,"43100237",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4195716,37.2271603","-80.419048,37.2272208",46.9500787103616
76,"43100237",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.419048,37.2272208","-80.4189551,37.2272315",8.32959543430596
77,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189551,37.2272315","-80.4189721,37.2272427",1.95478086402907
78,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189721,37.2272427","-80.4190507,37.227295",9.07454009921732
79,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4190507,37.227295","-80.4191461,37.2273585",11.0156489692994
80,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191461,37.2273585","-80.4194667,37.2275718",37.0121014007353
81,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4194667,37.2275718","-80.4195936,37.2276562",14.6481043492542
82,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4195936,37.2276562","-80.4196558,37.2276976",7.18198711671736
83,"43100238",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4196558,37.2276976","-80.4196124,37.2277374",5.86046748744919
84,"43100240",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189724,37.2275294","-80.4189847,37.2275181",1.66261444691386
85,"43100240",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189847,37.2275181","-80.4190595,37.2274445",10.5254987500742
86,"43100240",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4190595,37.2274445","-80.4191461,37.2273585",12.2540483965113
87,"43100241",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189847,37.2275181","-80.4189757,37.2274012",12.9983478382626
88,"43100241",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189757,37.2274012","-80.4189712,37.2273741",3.03400757711461
89,"43100241",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189712,37.2273741","-80.4189663,37.2273441",3.35773503198367
90,"43100242",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4191461,37.2273585","-80.4189712,37.2273741",15.6179229447499
91,"43100242",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4189712,37.2273741","-80.4189347,37.2273773",3.25863660345322
92,"43315872",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4202655,37.227034","-80.4201696,37.2271256",13.2581878358693
93,"43315872",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4201696,37.2271256","-80.4200934,37.2271958",10.3164641338889
94,"43315872",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4200934,37.2271958","-80.4196861,37.2275711",55.1488612822447
95,"43315872",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4196861,37.2275711","-80.4195936,37.2276562",12.5134708734745
96,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.418741,37.2259102","-80.4185908,37.2259332",13.5720944682822
97,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4185908,37.2259332","-80.4185405,37.2259455",4.66805881788188
98,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4185405,37.2259455","-80.4184199,37.2259889",11.736825248938
99,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4184199,37.2259889","-80.4182672,37.2261148",19.4649359118168
100,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4182672,37.2261148","-80.4181858,37.2261982",11.7413015018544
101,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4181858,37.2261982","-80.4181076,37.2262816",11.5687328293515
102,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4181076,37.2262816","-80.418021,37.2264003",15.2515365676408
103,"43315875",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.418021,37.2264003","-80.4179512,37.2265201",14.667860220008
104,"43315948",,steps,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes""","-80.4219182,37.2294095","-80.4218973,37.2294218",2.30293241761035
105,"43403914",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""dirt""","-80.4155769,37.2213753","-80.4154788,37.2213909",8.87713259352736
106,"43974447",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4180442,37.2251225","-80.4180127,37.2250604",7.43737698441843
107,"43974447",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4180127,37.2250604","-80.418008,37.2250481",1.42738327096251
108,"43974447",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.418008,37.2250481","-80.4179892,37.2249993",5.66709313291134
109,"43974447",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4179892,37.2249993","-80.4179589,37.224935",7.62598156389241
110,"43974453",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219472,37.2229085","-80.4215439,37.2229888",36.8860800408715
111,"43974453",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4215439,37.2229888","-80.4213468,37.2230312",18.1146915108069
112,"43974453",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4213468,37.2230312","-80.4212427,37.2230549",9.60609460904612
113,"43974456",,path,,,,,,0,"""foot""=>""yes""","-80.4231471,37.2217909","-80.4228474,37.2218185",27.4058441937419
114,"43974456",,path,,,,,,0,"""foot""=>""yes""","-80.4228474,37.2218185","-80.42309,37.2216831",26.2565854905376
115,"43974458",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4228474,37.2218185","-80.4228167,37.2218355",3.31414980752374
116,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.423269,37.2251706","-80.4232874,37.2254709",33.3678369841986
117,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.4232874,37.2254709","-80.4232922,37.2255496",8.74465556487028
118,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.4232922,37.2255496","-80.4232956,37.2256058",6.24447598987164
119,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.4232956,37.2256058","-80.4232989,37.2256593",5.94474882514057
120,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.4232989,37.2256593","-80.4232888,37.2258043",16.1173166011511
121,"43974460",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""concrete""","-80.4232888,37.2258043","-80.4232758,37.2258951",10.1429836479784
122,"43974461",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4232989,37.2256593","-80.4234409,37.2256211",13.2962070783644
123,"43974461",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4234409,37.2256211","-80.4236715,37.225688",21.7704725361976
124,"43974461",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4236715,37.225688","-80.4237675,37.2259909",34.6898025178078
125,"43974462",,path,,,,,,0,"""check_date:surface""=>""2024-09-27"",""foot""=>""yes"",""surface""=>""concrete""","-80.4236715,37.225688","-80.4243523,37.2254689",65.1291740543845
126,"43974463",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219057,37.2237112","-80.4220179,37.2236885",10.2715195215716
127,"43974463",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4220179,37.2236885","-80.4223568,37.2235776",32.4982900746968
128,"43974463",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4223568,37.2235776","-80.4225595,37.2235185",19.1481179982394
129,"43974463",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4225595,37.2235185","-80.4228519,37.2234272",27.85868773568
130,"43974465",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4226529,37.2231671","-80.4225333,37.2232282",12.5956943131912
131,"43974465",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4225333,37.2232282","-80.4219492,37.2236548",70.2056707247482
132,"43974465",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219492,37.2236548","-80.4219057,37.2237112",7.35420307533
133,"43974465",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219057,37.2237112","-80.4218598,37.223739",5.11014112850775
134,"43974466",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.423518,37.2225989","-80.4233376,37.2225862",16.0726956663956
135,"43974466",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4233376,37.2225862","-80.4227479,37.2227463",55.2706198204542
136,"43974469",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4222221,37.224176","-80.4219264,37.2240723",28.6559503625645
137,"43974469",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.4219264,37.2240723","-80.42189,37.2240595",3.52903616211197
138,"43974469",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""concrete""","-80.42189,37.2240595","-80.4215247,37.2239163",36.1061344683149
139,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4218139,37.2244672","-80.4218867,37.2243808",11.5624237024708
140,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4218867,37.2243808","-80.421956,37.2242506",15.8080586554914
141,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.421956,37.2242506","-80.4222221,37.224176",25.0254756240994
142,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4222221,37.224176","-80.4222975,37.2241549",7.08962902416465
143,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4222975,37.2241549","-80.4223934,37.2241281",9.01583733792173
144,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4223934,37.2241281","-80.4225026,37.2241706",10.7783150653537
145,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4225026,37.2241706","-80.4226423,37.2241361",12.9760910239024
146,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4226423,37.2241361","-80.4227464,37.2241383",9.24207146936686
147,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4227464,37.2241383","-80.4228124,37.2241208",6.17107512457604
148,"43974470",,path,,,,,,-10,"""bicycle""=>""yes"",""foot""=>""yes"",""layer""=>""-1"",""surface""=>""concrete""","-80.4228124,37.2241208","-80.4231385,37.2240219",30.9527739249282
149,"43974471",,path,,,,,,0,"""foot""=>""yes""","-80.4214528,37.2241074","-80.4214969,37.2240852",4.62478461886248
150,"43974471",,path,,,,,,0,"""foot""=>""yes""","-80.4214969,37.2240852","-80.4218867,37.2243808",47.6763585141035
151,"43974471",,path,,,,,,0,"""foot""=>""yes""","-80.4218867,37.2243808","-80.4219338,37.2243591",4.82422695747308
152,"43974471",,path,,,,,,0,"""foot""=>""yes""","-80.4219338,37.2243591","-80.4220027,37.2243273",7.06021744119414
